source_version,category,source_file,source_reference,section_id,heading_level,section_path,heading,classification,canonical_skill_ids,lesson_ids,review_status,notes
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Sets,languageguide-collectiontypes-xhtml.011.sets,2,Collection Types > Sets,Sets,overview,,,reviewed-no-lesson,Set overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Hash-Values-for-Set-Types,languageguide-collectiontypes-xhtml.012.hash-values-for-set-types,3,Collection Types > Sets > Hash Values for Set Types,Hash Values for Set Types,skill,swift.sets.hashable-elements,swift.sets.hashable-elements,reviewed-implemented,Hashable membership requirement.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Set-Type-Syntax,languageguide-collectiontypes-xhtml.013.set-type-syntax,3,Collection Types > Sets > Set Type Syntax,Set Type Syntax,skill,swift.sets.type-syntax,swift.sets.type-syntax,reviewed-implemented,Set Element generic syntax.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Creating-and-Initializing-an-Empty-Set,languageguide-collectiontypes-xhtml.014.creating-and-initializing-an-empty-set,3,Collection Types > Sets > Creating and Initializing an Empty Set,Creating and Initializing an Empty Set,skill,swift.sets.empty,swift.sets.empty,reviewed-implemented,Typed empty Set initialization.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Creating-a-Set-with-an-Array-Literal,languageguide-collectiontypes-xhtml.015.creating-a-set-with-an-array-literal,3,Collection Types > Sets > Creating a Set with an Array Literal,Creating a Set with an Array Literal,skill,swift.sets.literal,swift.sets.literal,reviewed-implemented,Set context for array-literal syntax.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Accessing-and-Modifying-a-Set,languageguide-collectiontypes-xhtml.016.accessing-and-modifying-a-set,3,Collection Types > Sets > Accessing and Modifying a Set,Accessing and Modifying a Set,skill,swift.sets.insert|swift.sets.remove|swift.sets.contains,swift.sets.insert|swift.sets.remove|swift.sets.contains,reviewed-implemented,Insertion optional removal and membership checks.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Iterating-Over-a-Set,languageguide-collectiontypes-xhtml.017.iterating-over-a-set,3,Collection Types > Sets > Iterating Over a Set,Iterating Over a Set,skill,swift.sets.sorted-iteration,swift.sets.sorted-iteration,reviewed-implemented,Deterministic sorted Set iteration.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Performing-Set-Operations,languageguide-collectiontypes-xhtml.018.performing-set-operations,2,Collection Types > Performing Set Operations,Performing Set Operations,overview,,,reviewed-no-lesson,Set-operation overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Fundamental-Set-Operations,languageguide-collectiontypes-xhtml.019.fundamental-set-operations,3,Collection Types > Performing Set Operations > Fundamental Set Operations,Fundamental Set Operations,skill,swift.sets.union-intersection|swift.sets.subtract-symmetric,swift.sets.union-intersection|swift.sets.subtract-symmetric,reviewed-implemented,Intersection union subtraction and symmetric difference.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Set-Membership-and-Equality,languageguide-collectiontypes-xhtml.020.set-membership-and-equality,3,Collection Types > Performing Set Operations > Set Membership and Equality,Set Membership and Equality,skill,swift.sets.subset|swift.sets.disjoint,swift.sets.subset|swift.sets.disjoint,reviewed-implemented,Subset superset and disjoint relationships.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Dictionaries,languageguide-collectiontypes-xhtml.021.dictionaries,2,Collection Types > Dictionaries,Dictionaries,overview,,,reviewed-no-lesson,Dictionary overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Dictionary-Type-Shorthand-Syntax,languageguide-collectiontypes-xhtml.022.dictionary-type-shorthand-syntax,3,Collection Types > Dictionaries > Dictionary Type Shorthand Syntax,Dictionary Type Shorthand Syntax,skill,swift.dictionaries.type-syntax,swift.dictionaries.type-syntax,reviewed-implemented,Dictionary Key-Value shorthand.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Creating-an-Empty-Dictionary,languageguide-collectiontypes-xhtml.023.creating-an-empty-dictionary,3,Collection Types > Dictionaries > Creating an Empty Dictionary,Creating an Empty Dictionary,skill,swift.dictionaries.empty,swift.dictionaries.empty,reviewed-implemented,Typed empty Dictionary literal.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Creating-a-Dictionary-with-a-Dictionary-Literal,languageguide-collectiontypes-xhtml.024.creating-a-dictionary-with-a-dictionary-literal,3,Collection Types > Dictionaries > Creating a Dictionary with a Dictionary Literal,Creating a Dictionary with a Dictionary Literal,skill,swift.dictionaries.literal,swift.dictionaries.literal,reviewed-implemented,Key-value literal syntax.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Accessing-and-Modifying-a-Dictionary,languageguide-collectiontypes-xhtml.025.accessing-and-modifying-a-dictionary,3,Collection Types > Dictionaries > Accessing and Modifying a Dictionary,Accessing and Modifying a Dictionary,skill,swift.dictionaries.optional-subscript|swift.dictionaries.update-value|swift.dictionaries.remove-value,swift.dictionaries.optional-subscript|swift.dictionaries.update-value|swift.dictionaries.remove-value,reviewed-implemented,Optional lookup update and removal APIs.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/CollectionTypes.xhtml,LanguageGuide/CollectionTypes.xhtml#Iterating-Over-a-Dictionary,languageguide-collectiontypes-xhtml.026.iterating-over-a-dictionary,3,Collection Types > Dictionaries > Iterating Over a Dictionary,Iterating Over a Dictionary,skill,swift.dictionaries.iteration,swift.dictionaries.iteration,reviewed-implemented,Key-value tuple iteration.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#control-flow,languageguide-controlflow-xhtml.001.control-flow,1,Control Flow,Control Flow,overview,,,reviewed-no-lesson,Chapter overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#For-In-Loops,languageguide-controlflow-xhtml.002.for-in-loops,2,Control Flow > For-In Loops,For-In Loops,skill,swift.loops.for-in|swift.loops.dictionary-pairs|swift.loops.ignore-value|swift.loops.stride-to|swift.loops.stride-through,swift.loops.for-in|swift.loops.dictionary-pairs|swift.loops.ignore-value|swift.loops.stride-to|swift.loops.stride-through,reviewed-implemented,Sequence tuple range ignored binding and stride iteration.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#While-Loops,languageguide-controlflow-xhtml.003.while-loops,2,Control Flow > While Loops,While Loops,overview,,,reviewed-no-lesson,Loop-family overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#While,languageguide-controlflow-xhtml.004.while,3,Control Flow > While Loops > While,While,skill,swift.loops.while,swift.loops.while,reviewed-implemented,Precondition loop.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Repeat-While,languageguide-controlflow-xhtml.005.repeat-while,3,Control Flow > While Loops > Repeat-While,Repeat-While,skill,swift.loops.repeat-while,swift.loops.repeat-while,reviewed-implemented,Postcondition loop with guaranteed first iteration.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Conditional-Statements,languageguide-controlflow-xhtml.006.conditional-statements,2,Control Flow > Conditional Statements,Conditional Statements,overview,,,reviewed-no-lesson,Conditional-family overview; If and Switch sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#If,languageguide-controlflow-xhtml.007.if,3,Control Flow > Conditional Statements > If,If,skill,swift.conditionals.if-else|swift.conditionals.if-expression,swift.conditionals.if-else|swift.conditionals.if-expression,reviewed-implemented,Branching and value-producing if expressions.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Switch,languageguide-controlflow-xhtml.008.switch,3,Control Flow > Conditional Statements > Switch,Switch,skill,swift.switches.statement|swift.switches.expression|swift.switches.exhaustive,swift.switches.statement|swift.switches.expression|swift.switches.exhaustive,reviewed-implemented,Exhaustive switch statements and expressions.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#No-Implicit-Fallthrough,languageguide-controlflow-xhtml.009.no-implicit-fallthrough,4,Control Flow > Conditional Statements > Switch > No Implicit Fallthrough,No Implicit Fallthrough,skill,swift.switches.compound-case,swift.switches.compound-case,reviewed-implemented,Comma-separated patterns instead of implicit fallthrough.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Interval-Matching,languageguide-controlflow-xhtml.010.interval-matching,4,Control Flow > Conditional Statements > Switch > Interval Matching,Interval Matching,skill,swift.switches.interval,swift.switches.interval,reviewed-implemented,Range case patterns.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Tuples,languageguide-controlflow-xhtml.011.tuples,4,Control Flow > Conditional Statements > Switch > Tuples,Tuples,skill,swift.switches.tuple-pattern,swift.switches.tuple-pattern,reviewed-implemented,Tuple case patterns and ignored elements.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Value-Bindings,languageguide-controlflow-xhtml.012.value-bindings,4,Control Flow > Conditional Statements > Switch > Value Bindings,Value Bindings,skill,swift.switches.value-binding,swift.switches.value-binding,reviewed-implemented,Pattern value binding.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Where,languageguide-controlflow-xhtml.013.where,4,Control Flow > Conditional Statements > Switch > Where,Where,skill,swift.switches.where-clause,swift.switches.where-clause,reviewed-implemented,Boolean case constraint.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Compound-Cases,languageguide-controlflow-xhtml.014.compound-cases,4,Control Flow > Conditional Statements > Switch > Compound Cases,Compound Cases,skill,swift.switches.compound-binding,swift.switches.compound-binding,reviewed-implemented,Shared bindings across compound patterns.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Patterns,languageguide-controlflow-xhtml.015.patterns,2,Control Flow > Patterns,Patterns,skill,swift.patterns.if-case|swift.patterns.for-case|swift.patterns.for-case-where,swift.patterns.if-case|swift.patterns.for-case|swift.patterns.for-case-where,reviewed-implemented,if-case and for-case pattern filtering with where.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Control-Transfer-Statements,languageguide-controlflow-xhtml.016.control-transfer-statements,2,Control Flow > Control Transfer Statements,Control Transfer Statements,overview,,,reviewed-no-lesson,Transfer-family overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Continue,languageguide-controlflow-xhtml.017.continue,3,Control Flow > Control Transfer Statements > Continue,Continue,skill,swift.transfer.continue,swift.transfer.continue,reviewed-implemented,Skip current loop iteration.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Break,languageguide-controlflow-xhtml.018.break,3,Control Flow > Control Transfer Statements > Break,Break,overview,,,reviewed-no-lesson,Break overview; loop and switch child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Break-in-a-Loop-Statement,languageguide-controlflow-xhtml.019.break-in-a-loop-statement,4,Control Flow > Control Transfer Statements > Break > Break in a Loop Statement,Break in a Loop Statement,skill,swift.transfer.break-loop,swift.transfer.break-loop,reviewed-implemented,Exit nearest loop.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Break-in-a-Switch-Statement,languageguide-controlflow-xhtml.020.break-in-a-switch-statement,4,Control Flow > Control Transfer Statements > Break > Break in a Switch Statement,Break in a Switch Statement,skill,swift.transfer.break-switch,swift.transfer.break-switch,reviewed-implemented,Intentionally empty switch case.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Fallthrough,languageguide-controlflow-xhtml.021.fallthrough,3,Control Flow > Control Transfer Statements > Fallthrough,Fallthrough,skill,swift.transfer.fallthrough,swift.transfer.fallthrough,reviewed-implemented,Explicit entry into next switch body.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Labeled-Statements,languageguide-controlflow-xhtml.022.labeled-statements,3,Control Flow > Control Transfer Statements > Labeled Statements,Labeled Statements,skill,swift.transfer.labeled-break,swift.transfer.labeled-break,reviewed-implemented,Target an outer labeled statement.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Early-Exit,languageguide-controlflow-xhtml.023.early-exit,2,Control Flow > Early Exit,Early Exit,skill,swift.guard.early-exit,swift.guard.early-exit,reviewed-implemented,guard requirement and scope-wide binding.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Deferred-Actions,languageguide-controlflow-xhtml.024.deferred-actions,2,Control Flow > Deferred Actions,Deferred Actions,skill,swift.defer.scope-exit|swift.defer.reverse-order,swift.defer.scope-exit|swift.defer.reverse-order,reviewed-implemented,Scope-exit cleanup and reverse registration order.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/ControlFlow.xhtml,LanguageGuide/ControlFlow.xhtml#Checking-API-Availability,languageguide-controlflow-xhtml.025.checking-api-availability,2,Control Flow > Checking API Availability,Checking API Availability,skill,swift.availability.available|swift.availability.unavailable,swift.availability.available|swift.availability.unavailable,reviewed-implemented,Positive and negative platform availability checks.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#functions,languageguide-functions-xhtml.001.functions,1,Functions,Functions,overview,,,reviewed-no-lesson,Chapter overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Defining-and-Calling-Functions,languageguide-functions-xhtml.002.defining-and-calling-functions,2,Functions > Defining and Calling Functions,Defining and Calling Functions,skill,swift.functions.define-call,swift.functions.define-call,reviewed-implemented,Named declaration parameter result and call syntax.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Function-Parameters-and-Return-Values,languageguide-functions-xhtml.003.function-parameters-and-return-values,2,Functions > Function Parameters and Return Values,Function Parameters and Return Values,overview,,,reviewed-no-lesson,Signature overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Functions-Without-Parameters,languageguide-functions-xhtml.004.functions-without-parameters,3,Functions > Function Parameters and Return Values > Functions Without Parameters,Functions Without Parameters,skill,swift.functions.no-parameters,swift.functions.no-parameters,reviewed-implemented,No-parameter declaration and call.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Functions-With-Multiple-Parameters,languageguide-functions-xhtml.005.functions-with-multiple-parameters,3,Functions > Function Parameters and Return Values > Functions With Multiple Parameters,Functions With Multiple Parameters,skill,swift.functions.multiple-parameters,swift.functions.multiple-parameters,reviewed-implemented,Multiple labeled arguments.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Functions-Without-Return-Values,languageguide-functions-xhtml.006.functions-without-return-values,3,Functions > Function Parameters and Return Values > Functions Without Return Values,Functions Without Return Values,skill,swift.functions.void-return,swift.functions.void-return,reviewed-implemented,Explicit Void result equivalent to omitted annotation.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Functions-with-Multiple-Return-Values,languageguide-functions-xhtml.007.functions-with-multiple-return-values,3,Functions > Function Parameters and Return Values > Functions with Multiple Return Values,Functions with Multiple Return Values,skill,swift.functions.tuple-return,swift.functions.tuple-return,reviewed-implemented,Named tuple result.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Optional-Tuple-Return-Types,languageguide-functions-xhtml.008.optional-tuple-return-types,4,Functions > Function Parameters and Return Values > Functions with Multiple Return Values > Optional Tuple Return Types,Optional Tuple Return Types,skill,swift.functions.optional-tuple-return,swift.functions.optional-tuple-return,reviewed-implemented,Optional whole-tuple result.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Functions-With-an-Implicit-Return,languageguide-functions-xhtml.009.functions-with-an-implicit-return,3,Functions > Function Parameters and Return Values > Functions With an Implicit Return,Functions With an Implicit Return,skill,swift.functions.implicit-return,swift.functions.implicit-return,reviewed-implemented,Single-expression implicit return.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Function-Argument-Labels-and-Parameter-Names,languageguide-functions-xhtml.010.function-argument-labels-and-parameter-names,2,Functions > Function Argument Labels and Parameter Names,Function Argument Labels and Parameter Names,overview,,,reviewed-no-lesson,Label and parameter-name overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Specifying-Argument-Labels,languageguide-functions-xhtml.011.specifying-argument-labels,3,Functions > Function Argument Labels and Parameter Names > Specifying Argument Labels,Specifying Argument Labels,skill,swift.functions.argument-label,swift.functions.argument-label,reviewed-implemented,External label and internal name.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Omitting-Argument-Labels,languageguide-functions-xhtml.012.omitting-argument-labels,3,Functions > Function Argument Labels and Parameter Names > Omitting Argument Labels,Omitting Argument Labels,skill,swift.functions.omit-label,swift.functions.omit-label,reviewed-implemented,Underscore label omission.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Default-Parameter-Values,languageguide-functions-xhtml.013.default-parameter-values,3,Functions > Function Argument Labels and Parameter Names > Default Parameter Values,Default Parameter Values,skill,swift.functions.default-parameter,swift.functions.default-parameter,reviewed-implemented,Caller-optional default value.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Variadic-Parameters,languageguide-functions-xhtml.014.variadic-parameters,3,Functions > Function Argument Labels and Parameter Names > Variadic Parameters,Variadic Parameters,skill,swift.functions.variadic,swift.functions.variadic,reviewed-implemented,Variadic parameter collected as Array.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#In-Out-Parameters,languageguide-functions-xhtml.015.in-out-parameters,3,Functions > Function Argument Labels and Parameter Names > In-Out Parameters,In-Out Parameters,skill,swift.functions.inout-parameter|swift.functions.inout-call,swift.functions.inout-parameter|swift.functions.inout-call,reviewed-implemented,inout declaration and ampersand call syntax.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Function-Types,languageguide-functions-xhtml.016.function-types,2,Functions > Function Types,Function Types,skill,swift.functions.function-type,swift.functions.function-type,reviewed-implemented,Parameter-to-result function type.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Using-Function-Types,languageguide-functions-xhtml.017.using-function-types,3,Functions > Function Types > Using Function Types,Using Function Types,skill,swift.functions.function-value,swift.functions.function-value,reviewed-implemented,Assigning a named function as a value.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Function-Types-as-Parameter-Types,languageguide-functions-xhtml.018.function-types-as-parameter-types,3,Functions > Function Types > Function Types as Parameter Types,Function Types as Parameter Types,skill,swift.functions.function-parameter,swift.functions.function-parameter,reviewed-implemented,Behavior injection through function parameter.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Function-Types-as-Return-Types,languageguide-functions-xhtml.019.function-types-as-return-types,3,Functions > Function Types > Function Types as Return Types,Function Types as Return Types,skill,swift.functions.function-return,swift.functions.function-return,reviewed-implemented,Returning selected behavior.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Functions.xhtml,LanguageGuide/Functions.xhtml#Nested-Functions,languageguide-functions-xhtml.020.nested-functions,2,Functions > Nested Functions,Nested Functions,skill,swift.functions.nested,swift.functions.nested,reviewed-implemented,Locally scoped helper function.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#closures,languageguide-closures-xhtml.001.closures,1,Closures,Closures,overview,,,reviewed-no-lesson,Chapter overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Closure-Expressions,languageguide-closures-xhtml.002.closure-expressions,2,Closures > Closure Expressions,Closure Expressions,overview,,,reviewed-no-lesson,Closure-expression overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#The-Sorted-Method,languageguide-closures-xhtml.003.the-sorted-method,3,Closures > Closure Expressions > The Sorted Method,The Sorted Method,skill,swift.closures.sorted-comparator,swift.closures.sorted-comparator,reviewed-implemented,Function comparator passed to sorted.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Closure-Expression-Syntax,languageguide-closures-xhtml.004.closure-expression-syntax,3,Closures > Closure Expressions > Closure Expression Syntax,Closure Expression Syntax,skill,swift.closures.expression-syntax,swift.closures.expression-syntax,reviewed-implemented,Parameters result and in separator.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Inferring-Type-From-Context,languageguide-closures-xhtml.005.inferring-type-from-context,3,Closures > Closure Expressions > Inferring Type From Context,Inferring Type From Context,skill,swift.closures.inferred-types,swift.closures.inferred-types,reviewed-implemented,Contextual parameter and result inference.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Implicit-Returns-from-Single-Expression-Closures,languageguide-closures-xhtml.006.implicit-returns-from-single-expression-closures,3,Closures > Closure Expressions > Implicit Returns from Single-Expression Closures,Implicit Returns from Single-Expression Closures,skill,swift.closures.implicit-return,swift.closures.implicit-return,reviewed-implemented,Single-expression implicit return.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Shorthand-Argument-Names,languageguide-closures-xhtml.007.shorthand-argument-names,3,Closures > Closure Expressions > Shorthand Argument Names,Shorthand Argument Names,skill,swift.closures.shorthand-arguments,swift.closures.shorthand-arguments,reviewed-implemented,Dollar-indexed inferred arguments.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Operator-Methods,languageguide-closures-xhtml.008.operator-methods,3,Closures > Closure Expressions > Operator Methods,Operator Methods,skill,swift.closures.operator-method,swift.closures.operator-method,reviewed-implemented,Compatible operator passed as function value.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Trailing-Closures,languageguide-closures-xhtml.009.trailing-closures,2,Closures > Trailing Closures,Trailing Closures,skill,swift.closures.trailing|swift.closures.multiple-trailing|swift.closures.map-transform,swift.closures.trailing|swift.closures.multiple-trailing|swift.closures.map-transform,reviewed-implemented,Single and multiple trailing closures plus map transformation.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Capturing-Values,languageguide-closures-xhtml.010.capturing-values,2,Closures > Capturing Values,Capturing Values,skill,swift.closures.capture,swift.closures.capture,reviewed-implemented,Captured mutable state across calls.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Closures-Are-Reference-Types,languageguide-closures-xhtml.011.closures-are-reference-types,2,Closures > Closures Are Reference Types,Closures Are Reference Types,skill,swift.closures.reference-semantics,swift.closures.reference-semantics,reviewed-implemented,Shared closure identity and capture storage.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Escaping-Closures,languageguide-closures-xhtml.012.escaping-closures,2,Closures > Escaping Closures,Escaping Closures,skill,swift.closures.escaping|swift.closures.explicit-self,swift.closures.escaping|swift.closures.explicit-self,reviewed-implemented,Escaping lifetime and explicit instance capture.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Closures.xhtml,LanguageGuide/Closures.xhtml#Autoclosures,languageguide-closures-xhtml.013.autoclosures,2,Closures > Autoclosures,Autoclosures,skill,swift.closures.autoclosure|swift.closures.escaping-autoclosure,swift.closures.autoclosure|swift.closures.escaping-autoclosure,reviewed-implemented,Implicit lazy closure creation and stored autoclosures.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/Enumerations.xhtml,LanguageGuide/Enumerations.xhtml#enumerations,languageguide-enumerations-xhtml.001.enumerations,1,Enumerations,Enumerations,overview,,,reviewed-no-lesson,Chapter overview; child sections carry the activities.
